Name,Code,RegDate,LastClose,Pivot,Bottom,LastIntStart,LastIntEnd,LastIntPeriod,T,Breakout,BreakoutDate,NewInterval
DI동일,001530,2025-02-14,48000,48100,46800,2025-02-13,2025-02-14,2,3,False,,False
DN오토모티브,007340,2025-03-21,21450,21750,21200,2025-03-20,2025-03-21,2,3,False,,False
DN오토모티브,007340,2025-03-24,21900,22100,21250,2025-03-24,2025-03-24,1,3,False,,True
DN오토모티브,007340,2025-03-25,21900,22100,21050,2025-03-20,2025-03-25,6,3,False,,False
DN오토모티브,007340,2025-03-26,21700,22200,21050,2025-03-20,2025-03-26,7,3,False,,False
DN오토모티브,007340,2025-03-27,21250,22200,21050,2025-03-20,2025-03-27,8,3,False,,False
HMM,011200,2025-02-07,18580,18780,18420,2025-02-05,2025-02-07,3,3,False,,False
HMM,011200,2025-02-10,18240,18950,18210,2025-02-05,2025-02-10,6,3,False,,False
HMM,011200,2025-02-21,18670,18750,18010,2025-02-17,2025-02-21,5,3,False,,False
HMM,011200,2025-02-24,20000,19000,18010,2025-02-17,2025-02-21,5,3,True,2025-02-24,False
KT,030200,2025-01-24,47000,47000,45700,2025-01-24,2025-01-24,1,3,False,,True
KT,030200,2025-01-31,48000,48200,47050,2025-01-31,2025-01-31,1,4,False,,True
KT,030200,2025-02-03,46900,48200,46750,2025-01-31,2025-02-03,4,5,False,,False
KT,030200,2025-02-11,46000,46000,45350,2025-02-11,2025-02-11,1,3,False,,True
KT,030200,2025-02-12,45150,46000,45100,2025-02-11,2025-02-12,2,4,False,,False
KT,030200,2025-02-17,46800,46950,45050,2025-02-10,2025-02-17,8,3,False,,False
KT,030200,2025-02-18,46550,47700,45050,2025-02-10,2025-02-18,9,3,False,,False
KT,030200,2025-02-19,46800,47700,45050,2025-02-10,2025-02-19,10,3,False,,False
KT,030200,2025-02-20,47650,47650,46300,2025-02-20,2025-02-20,1,4,False,,True
KT,030200,2025-02-21,47200,47650,46250,2025-02-19,2025-02-21,3,4,False,,False
KT,030200,2025-02-24,48000,48350,47200,2025-02-24,2025-02-24,1,4,False,,True
KT,030200,2025-02-25,47800,48350,47200,2025-02-24,2025-02-25,2,5,False,,False
KT,030200,2025-02-26,48050,48350,47200,2025-02-24,2025-02-26,3,5,False,,False
KT,030200,2025-02-27,47650,48400,47200,2025-02-24,2025-02-27,4,5,False,,False
KT,030200,2025-02-28,47000,48400,46900,2025-02-24,2025-02-28,5,5,False,,False
KT,030200,2025-03-04,47700,48400,46250,2025-02-19,2025-03-04,14,4,False,,False
KT,030200,2025-03-05,47400,48400,46250,2025-02-19,2025-03-05,15,4,False,,False
KT,030200,2025-03-06,48500,48500,47500,2025-03-06,2025-03-06,1,4,False,,True
KT,030200,2025-03-07,48050,48500,47500,2025-03-06,2025-03-07,2,5,False,,False
KT,030200,2025-03-10,48250,48500,47500,2025-03-06,2025-03-10,5,5,False,,False
